epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23704,2.16451,2.10863,1.89577,0.46628,0.38538,0.33466,0.11378,2.2869,2.63635,2.13387,0.00048,0.00048,0.00048
2,13.5769,2.02874,1.84649,1.73999,0.20739,0.22956,0.12773,0.0419,2.68196,10.561,2.78299,0.000977575,0.000977575,0.000977575
3,19.9082,2.07916,1.88179,1.82772,0.03633,0.30235,0.02264,0.00661,2.90034,16.9291,2.96349,0.00147267,0.00147267,0.00147267
4,26.0383,2.05178,1.85903,1.87351,0.22151,0.16605,0.12894,0.03405,2.83483,7.07232,3.0295,0.0019653,0.0019653,0.0019653
5,32.1384,2.15213,1.97986,1.94738,0.03685,0.1995,0.02024,0.0054,3.08264,18.2174,3.46612,0.0019802,0.0019802,0.0019802
6,38.2357,2.08335,1.87853,1.90574,0.17581,0.228,0.10171,0.02867,2.73416,2.81935,2.60827,0.00197525,0.00197525,0.00197525
7,44.3775,2.0645,1.86246,1.85725,0.26498,0.29988,0.1874,0.05845,2.60613,3.81792,2.4388,0.0019703,0.0019703,0.0019703
8,50.4811,2.04087,1.83333,1.86882,0.3429,0.31351,0.25556,0.08068,2.46704,2.49976,2.37018,0.00196535,0.00196535,0.00196535
9,56.5911,2.0376,1.81677,1.8365,0.4003,0.37299,0.31131,0.10305,2.31413,2.30095,2.21601,0.0019604,0.0019604,0.0019604
10,62.6948,1.98942,1.77676,1.80138,0.43306,0.30359,0.27882,0.08907,2.5616,2.3285,2.3358,0.00195545,0.00195545,0.00195545
11,68.8124,1.96871,1.7557,1.80092,0.3697,0.3467,0.28372,0.09796,2.40933,2.25722,2.31795,0.0019505,0.0019505,0.0019505
12,74.9989,1.94409,1.72737,1.79817,0.49338,0.36679,0.37755,0.12544,2.26537,2.12668,2.15148,0.00194555,0.00194555,0.00194555
13,81.3416,1.92554,1.71317,1.80849,0.42422,0.4017,0.35876,0.12241,2.27901,1.96373,2.21339,0.0019406,0.0019406,0.0019406
14,88.123,1.93332,1.63098,1.77296,0.35169,0.3966,0.29304,0.09949,2.49974,2.06196,2.24306,0.00193565,0.00193565,0.00193565
15,94.302,1.91228,1.65826,1.75146,0.44664,0.43909,0.38408,0.12817,2.33576,2.31122,2.17646,0.0019307,0.0019307,0.0019307
16,100.597,1.92886,1.63366,1.76182,0.42262,0.46468,0.42418,0.14195,2.26921,1.82287,2.18297,0.00192575,0.00192575,0.00192575
17,106.825,1.88847,1.5725,1.72867,0.47384,0.44857,0.40622,0.14008,2.25338,1.80296,2.13857,0.0019208,0.0019208,0.0019208
18,113.021,1.87265,1.55956,1.71847,0.47268,0.43542,0.43072,0.15245,2.28886,1.82694,2.12528,0.00191585,0.00191585,0.00191585
19,119.381,1.86216,1.6113,1.74397,0.46528,0.43123,0.38237,0.12826,2.3856,1.83582,2.2596,0.0019109,0.0019109,0.0019109
20,125.62,1.84503,1.58792,1.73265,0.5293,0.47708,0.44016,0.14657,2.23054,1.8596,2.11636,0.00190595,0.00190595,0.00190595
21,132.677,1.88291,1.53303,1.71719,0.55242,0.44362,0.44137,0.16002,2.27814,1.76077,2.15537,0.001901,0.001901,0.001901
22,138.904,1.88375,1.57458,1.71396,0.57188,0.38414,0.39113,0.13438,2.29874,1.95102,2.21102,0.00189605,0.00189605,0.00189605
23,145.128,1.88696,1.55124,1.72685,0.51064,0.43247,0.39737,0.128,2.29373,1.93333,2.10359,0.0018911,0.0018911,0.0018911
24,151.493,1.84339,1.5287,1.69805,0.50179,0.45477,0.40576,0.14128,2.29569,2.00087,2.2388,0.00188615,0.00188615,0.00188615
25,157.755,1.82938,1.47995,1.67734,0.44775,0.44486,0.38378,0.13634,2.27537,1.92876,2.2161,0.0018812,0.0018812,0.0018812
26,163.912,1.84484,1.51883,1.73045,0.56936,0.45872,0.47872,0.16468,2.30439,1.8326,2.14586,0.00187625,0.00187625,0.00187625
27,170.188,1.80478,1.50821,1.71785,0.55572,0.44639,0.45845,0.16597,2.17682,1.74489,2.08347,0.0018713,0.0018713,0.0018713
