epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2738,2.10202,2.31387,1.97128,0.32983,0.23296,0.21578,0.07841,2.18648,2.85187,2.16929,0.0003,0.0003,0.0003
2,16.5409,1.94645,1.78843,1.7213,0.26423,0.38982,0.2227,0.0742,2.43775,4.78346,2.4883,0.000618466,0.000618466,0.000618466
3,23.7672,2.02509,1.86335,1.80011,0.12812,0.27014,0.07838,0.0225,2.7603,11.5351,3.58232,0.000935347,0.000935347,0.000935347
4,39.4237,2.01141,1.82509,1.78887,0.19762,0.25031,0.13682,0.04793,2.60178,7.66517,2.64597,0.00125064,0.00125064,0.00125064
5,46.5243,1.97986,1.72845,1.78353,0.27716,0.15489,0.10777,0.03474,2.52354,8.52536,2.78676,0.00156436,0.00156436,0.00156436
6,53.6918,2.02558,1.81238,1.8385,0.13684,0.23296,0.08005,0.02099,2.72423,8.90941,2.97662,0.00187649,0.00187649,0.00187649
7,60.7357,1.99574,1.7925,1.85421,0.09371,0.23916,0.04251,0.01253,3.11084,11.3229,3.39139,0.0019703,0.0019703,0.0019703
8,67.7827,2.02102,1.77269,1.84296,0.11168,0.10037,0.04355,0.01198,3.35063,3.97316,3.58421,0.00196535,0.00196535,0.00196535
9,79.0167,2.04449,1.84492,1.85075,0.21049,0.23172,0.11573,0.02999,2.82773,3.68302,2.75655,0.0019604,0.0019604,0.0019604
10,99.9645,2.00766,1.80366,1.87596,0.30232,0.34077,0.22627,0.07081,2.46661,3.47978,2.62322,0.00195545,0.00195545,0.00195545
11,110.662,2.00581,1.72894,1.81517,0.32,0.37146,0.23962,0.07016,2.50724,3.14721,2.51519,0.0019505,0.0019505,0.0019505
12,122.592,1.95747,1.71751,1.81893,0.266,0.25774,0.18319,0.05606,2.51987,3.42039,2.45475,0.00194555,0.00194555,0.00194555
13,130.244,1.94259,1.71517,1.79379,0.24103,0.33086,0.18686,0.05465,2.6709,3.91728,2.69844,0.0019406,0.0019406,0.0019406
14,137.426,1.94054,1.68888,1.79002,0.38081,0.39281,0.31926,0.10416,2.41766,3.00908,2.24401,0.00193565,0.00193565,0.00193565
15,144.76,1.90328,1.60343,1.74315,0.41367,0.34201,0.30351,0.09914,2.47165,2.22482,2.45928,0.0019307,0.0019307,0.0019307
